"","title","rating","id","year","imdbid"
"1","Roundhay Garden Scene",0,8040,1888,"0392728"
"2","Pauvre Pierrot",0,5433,1892,"0000003"
"3","Tables Turned on the Gardener",0,5444,1895,"0000014"
"4","Execution of Mary, Queen of Scots, The",0,6200,1895,"0132134"
"5","Arrival of a Train, The",0,6199,1896,"0000012"
"6","House of the Devil, The",0,4982,1896,"0000091"
"7","Une nuit terrible",0,5406,1896,"0000131"
"8","La fee aux choux",0,5445,1896,"0223341"
"9","Astronomer&#39;s Dream; or, The Man in the Moon, The",0,5410,1898,"0000211"
"10","Four Heads Are Better Than One",0,4978,1898,"0135696"
"11","Temptation of St. Anthony, The",0,5411,1898,"0224240"
"12","A Turn of the Century Illusionist",0,4994,1899,"0000246"
"13","Cinderella",3,5914,1899,"0000230"
"14","Doctor and the Monkey, The",0,5446,1900,"0227438"
"15","Grandma&#39;s Reading Glass",0,4343,1900,"0000304"
"16","Let Me Dream Again",0,5438,1900,"0000313"
"17","Hamlet ( Le Duel d&#39;Hamlet)",0,4346,1900,"0000306"
"18","One-Man Band, The",0,4993,1900,"0135453"
"19","Grandma Threading Her Needle",0,5069,1900,"0377995"
"20","Enchanted Drawing, The",0,4271,1900,"0000300"
"21","Searching Ruins on Broadway, Galveston, for Dead Bodies",0,5072,1900,"0230746"
"22","Explosion of a Motor Car (a.k.a The Dlights of Automobiling)",0,4345,1900,"0257654"
"23","Sherlock Holmes Baffled",0,1594,1900,"0291476"
"24","As Seen Through A Telescope (a.k.a The Professor and His Field Glass)",0,4344,1900,"0000272"
"25","Bluebeard",0,5500,1901,"0131934"
"26","Reve et realite",0,5437,1901,"0258104"
"27","L&#39;homme a la tete en caoutchouc",0,4995,1901,"0000359"
"28","Twentieth Century Tramp; or, Happy Hooligan and His Airship, The",0,5432,1902,"0367177"
"29","Gulliver&#39;s Travels",0,5431,1902,"0229024"
"30","Le voyage dans la lune",0,1252,1902,"0000417"
"31","Mephistopheles&#39; School of Magic",0,5443,1902,"0000413"
"32","Music Lover, The",0,5063,1903,"0000455"
"33","Infernal Boiling Pot, The",0,5002,1903,"0135180"
"34","Monster, The",0,5064,1903,"0223755"
"35","Great Train Robbery, The",0,1319,1903,"0000439"
"36","Enchanted Well, The",0,5683,1903,"0189498"
"37","Le voyage a travers l&#39;impossible",0,6135,1904,"0000499"
"38","Untamable Whiskers, The",0,5601,1904,"0135631"
"39","Cook in Trouble, The",0,5224,1904,"0215664"
"40","Living Playing Cards, The",0,5404,1904,"0135179"
"41","Black Imp, The",0,5602,1905,"0215575"
"42","Scheming Gambler&#39;s Paradise, The",0,5003,1905,"0135690"
"43","Hilarious Posters, The",0,5603,1906,"0135122"
"44","Humorous Phases of Funny Faces",0,5435,1906,"0000554"
"45","Consequence of Feminism, The",0,7215,1906,"1260944"
"46","Mysterious Retort, The",0,5024,1906,"0216016"
"47","A Funny Shave",0,6206,1906,"0449172"
"48","400 Tricks of the Devil, The",0,5684,1906,"0000567"
"49","Story of the Kelly Gang, The",1,1349,1906,"0000574"
"50","Good Glue Sticks",0,5615,1907,"0215817"
"51","Eclipse: Courtship of the Sun and Moon, The",0,5223,1907,"0215737"
"52","Unusual Cooking",0,6231,1908,"1802750"
"53","Devilish Tenant, The",0,5635,1909,"0127948"
"54","Princess Nicotine; or, The Smoke Fairy",2,4409,1909,"0001009"
"55","Le barometre de la fidelite",1,6211,1909,"0277596"
"56","Tilly the Tomboy Visits the Poor",3,1464,1910,"0232821"
"57","A Trip to Mars",0,5685,1910,"1515725"
"58","Mobilier fidele",0,4983,1910,"0486978"
"59","Invaders, The",0,2005,1912,"0002281"
"60","Max and the Donkey",0,5357,1912,"0277865"
"61","Cleopatra",2,2003,1912,"0002101"
"62","Suspense",0,5915,1913,"0003424"
"63","Voyage of the Bourrichon Family, The",0,5364,1913,"0003512"
"64","A Florida Enchantment",2,4457,1914,"0003973"
"65","Birth of a Nation, The",2,1258,1915,"0004972"
"66","Gretchen the Greenhorn",3,2008,1916,"0006745"
"67","Vagabond, The",0,5368,1916,"0007507"
"68","Intolerance: Love&#39;s Struggle Throughout the Ages",0,5944,1916,"0006864"
"69","Lady Windermere&#39;s Fan",3,2014,1916,"0279914"
"70","Snow White",3,7004,1916,"0007361"
"71","Raffles, the Amateur Cracksman",2,2019,1917,"0008489"
"72","Poor Little Rich Girl, The",3,1994,1917,"0008443"
"73","A Romance of the Redwoods",0,2015,1917,"0008519"
"74","Rebecca of Sunnybrook Farm",3,1993,1917,"0008499"
"75","A Tale of Two Cities",3,1981,1917,"0008652"
"76","Ich mochte kein Mann sein",3,7108,1918,"0010281"
"77","Are Crooks Dishonest?",0,5441,1918,"0008844"
"78","Stella Maris",3,2007,1918,"0009652"
"79","Tarzan of the Apes",3,1996,1918,"0009682"
"80","Broken Blossoms or The Yellow Man and the Girl",0,2588,1919,"0009968"
"81","When the Clouds Roll by",3,2018,1919,"0010879"
"82","Pollyanna",3,1991,1920,"0011588"
"83","Within Our Gates",3,5948,1920,"0011870"
"84","Cabinet of Dr. Caligari, The",0,1306,1920,"0010323"
"85","Blot, The",3,4204,1921,"0011979"
